Period,Commodity,Province,Country,State,Value ($),Quantity,Unit of measure
2026-03-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,Germany,N/A,2,0,Volume in cubic metres
2022-04-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,Texas,76567802,86303,Volume in cubic metres
2022-06-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,Texas,1.09E+08,120039,Volume in cubic metres
2022-07-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,Texas,74266558,77999,Volume in cubic metres
2022-08-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,Ecuador,N/A,86882215,108553,Volume in cubic metres
2022-08-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,Texas,80500329,93945,Volume in cubic metres
2023-03-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,Illinois,3,0,Volume in cubic metres
2023-03-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,Texas,50685115,75531,Volume in cubic metres
2023-11-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,Spain,N/A,27,0,Volume in cubic metres
2024-03-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,Texas,1.04E+08,166837,Volume in cubic metres
2024-04-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,Pennsylvania,1424,2,Volume in cubic metres
2024-05-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,Texas,1.19E+08,165497,Volume in cubic metres
2024-06-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,Texas,82177896,121413,Volume in cubic metres
2021-10-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,Texas,30845838,52487,Volume in cubic metres
2022-02-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,Minnesota,111,0,Volume in cubic metres
2022-10-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,Texas,1.14E+08,154485,Volume in cubic metres
2023-01-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,Texas,41739583,60007,Volume in cubic metres
2023-02-01,"2709.00.00.30 - Crude petroleum oils, relative density of 0.9042 or more (less than 25° A.P.I.)",Canada,United States,Texas,64656203,96446,Volume in cubic metres
